資料日期,資料時間,代號,名稱,前日均價,報買價,報買量,報賣價,報賣量,日最高,日最低,日均價,成交,投資人成交買賣別,暫停交易開始時間,成交量,進度日期,上市櫃進度
"1150211","163004","3659","百辰","35.54","33.05","1950","34.6","2900","35","33.05","34.49","34.6","B","000000","63231","",""
"1150211","163004","3678","聯享","39.72","40","3000","40.65","1000","41.1","39.9","40.32","40.65","B","000000","85018","",""
"1150211","163004","4115","善德生技","8.23","7.85","14000","8.26","14608","8.26","7.85","8.14","8.26","B","000000","3492","",""
"1150211","163004","4117","普生","12.16","11.95","10000","12.15","4998","12.3","11.95","12.05","12.15","B","000000","89677","",""
"1150211","163004","4132","國鼎","17.25","16","15000","16.7","4999","17.35","15.7","16.44","16.7","B","000000","978134","",""
"1150211","163004","4150","優你康","6.91","6.87","10000","6.93","9999","7","6.76","6.88","6.93","B","000000","153886","",""
"1150211","163004","4169","泰宗","180.07","179.5","5000","181","10000","181.5","178.5","179.84","180.5","B","000000","53185","20251223","e"
"1150211","163004","4170","鑫品生醫","13.86","13.6","5000","13.95","4000","13.95","13.55","13.66","13.95","B","000000","41317","",""
"1150211","163004","4172","因華","15.88","15.75","55000","16","8000","16.05","15.6","15.75","16","B","000000","499001","",""
"1150211","163004","4178","永笙-KY","27.82","27.85","2700","28.1","3000","28.5","27.85","28.01","28","S","000000","177509","20260204","e"
"1150211","163004","4186","尖端醫","10.96","10.8","5000","11","6990","11","10.75","10.89","11","B","000000","133950","",""
"1150211","163004","4194","禾生技","7.55","7.46","5000","7.8","4000","7.84","7.07","7.32","7.8","B","000000","145498","",""
"1150211","163004","4195","基米","24.57","24.25","3000","24.7","5960","24.8","24","24.32","24.7","B","000000","194241","20260203","l"
"1150211","163004","4197","暐世","9.65","9.44","5000","9.85","4000","9.85","9.45","9.59","9.85","B","000000","8010","",""
"1150211","163004","4431","敏成健康","18.14","18.05","3985","18.6","4990","18.8","18","18.45","18.6","B","000000","46106","",""
"1150211","163004","4537","旭東","88.88","87.7","8000","88.5","5999","89.2","87.7","88.36","88.5","B","000000","339867","",""
"1150211","163004","4544","春日","14.93","14.25","10000","15","10000","0","0","0","0","","000000","0","",""
"1150211","163004","4546","長亨","137.8","135.5","6000","138.5","2972","139","134","135.72","138.5","B","000000","111221","",""
"1150211","163004","4553","盛復","18.8","18","4000","18.8","5000","18","18","18","18","S","000000","1000","",""
"1150211","163004","4559","久裕興","8.1","7.8","3000","8.1","2992","8.1","7.8","7.95","8.1","B","000000","4008","",""
"1150211","163004","4565","宏偉","96.66","96.4","2800","97","5838","99.7","95.5","96.32","97","B","000000","29114","",""
